기간,구분,합계,20~24세,25~29세,30~34세,35~39세
2020,합계,1390701,123990,238517,183573,126485
2020,종로구,25983,3331,4111,2923,1981
2020,중구,22818,2250,3232,2698,1975
2020,용산구,36881,2663,5646,5550,4110
2020,성동구,42585,4850,7052,5008,3709
2020,광진구,62301,7283,13249,8991,5692
2020,동대문구,60925,10567,10639,6001,4058
2020,중랑구,56605,2361,6577,5840,4551
2020,성북구,61510,11271,9696,5663,3971
2020,강북구,45685,3037,4894,3695,3016
2020,도봉구,34884,1612,2816,2536,2427
2020,노원구,56438,5554,5204,3900,3530
2020,은평구,57853,2967,7707,6490,5182
2020,서대문구,49863,8945,8982,5420,3587
2020,마포구,63172,6993,13204,10088,6872
2020,양천구,39436,1250,4031,3987,3344
2020,강서구,86172,4442,15643,13177,8898
2020,구로구,50971,2675,7671,6607,4631
2020,금천구,42334,2288,7518,5718,3615
2020,영등포구,64000,3622,13418,11074,6350
2020,동작구,64101,8592,14153,9131,5246
2020,관악구,129233,15893,36331,21802,11342
2020,서초구,43942,2884,6560,7187,5366
2020,강남구,68999,3590,11221,12034,9433
2020,송파구,73694,3099,11972,11929,8942
2020,강동구,50316,1971,6990,6124,4657
