날짜,서울 종로구,서울 중구,서울 용산구,서울 성동구,서울 광진구,서울 동대문구,서울 중랑구,서울 성북구,서울 강북구,서울 도봉구,서울 노원구,서울 은평구,서울 서대문구,서울 마포구,서울 양천구,서울 강서구,서울 구로구,서울 금천구,서울 영등포구,서울 동작구,서울 관악구,서울 서초구,서울 강남구,서울 송파구,서울 강동구,부산 중구,부산 서구,부산 동구,부산 부산진구,부산 동래구,부산 남구,부산 북구,부산 해운대구,부산 사하구,부산 금정구,부산 강서구,부산 연제구,부산 수영구,부산 사상구,대구 중구,대구 동구,대구 서구,대구 남구,대구 북구,대구 수성구,대구 달서구,대구 달성군,인천 중구,인천 동구,인천 남구,인천 미추홀구,인천 연수구,인천 남동구,인천 부평구,인천 계양구,인천 서구,광주 동구,광주 서구,광주 남구,광주 북구,광주 광산구,대전 동구,대전 중구,대전 서구,대전 유성구,경기 수원시 권선구,경기 수원시 팔달구,경기 수원시 영통구,경기 성남시 수정구,경기 성남시 중원구,경기 성남시 분당구,경기 의정부시,경기 안양시 만안구,경기 안양시 동안구,경기 부천시,경기 부천시 원미구,경기 부천시 소사구,경기 광명시,경기 평택시,경기 동두천시,경기 안산시 상록구,경기 안산시 단원구,경기 고양시 덕양구,경기 고양시 일산동구,경기 고양시 일산서구,경기 과천시,경기 구리시,경기 남양주시,경기 오산시,경기 군포시,경기 의왕시,경기 용인시 처인구,경기 용인시 기흥구,경기 파주시,경기 양주시,경기 양평군
Nov-14,96.328,96.359,96.048,95.604,94.911,95.73,94.642,96.044,96.308,96.458,95.048,95.56,94.498,93.207,94.703,94.9,94.662,95.403,95.946,96.007,95.149,94.572,94.039,94.308,95.083,93.605,94.226,94.357,93.438,92.203,92.409,95.215,90.677,94.97,93.71,89.536,94.092,92.938,95.02,93.896,93.125,93.318,92.13,93.736,92.545,92.298,96.382,98.908,97.713,95.743,,98.229,97.468,97.611,94.568,,96.166,94.003,96.097,98.985,89.235,97.781,93.551,97.005,89.953,99.763,97.982,97.678,97.231,95.996,98.05,96.978,98.404,96.645,,100,100,94.332,95.577,98.477,97.337,94.422,97.131,97.181,98.126,96.243,95.429,95.523,95.423,96.656,95.726,96.799,97.046,97.011,97.571,98.162
Dec-14,96.424,96.51,96.197,95.875,95.054,95.782,94.772,96.173,96.482,96.582,95.155,95.624,94.655,93.421,95.006,94.989,94.747,95.563,96.083,96.183,95.259,94.746,94.397,94.452,95.123,93.781,94.378,94.761,93.485,92.387,92.75,95.389,90.835,95.01,94.054,89.931,94.22,93.205,95.181,94.068,93.339,93.538,92.501,93.743,93,92.487,96.382,98.942,97.152,96.868,,98.157,97.69,97.779,94.878,,96.287,94.005,96.286,99.01,89.606,97.858,93.961,96.896,89.931,99.78,98.165,98.338,97.315,96.044,98.112,97.118,98.85,96.604,,99.751,99.935,94.395,95.621,98.614,97.221,94.709,97.133,96.788,97.984,96.428,95.429,95.561,95.554,96.788,95.891,96.95,97.142,97.224,97.571,98.065
Jan-15,96.492,96.614,96.251,95.992,95.169,95.812,94.917,96.29,96.714,96.788,95.268,95.784,94.735,93.543,95.367,95.162,94.799,95.563,96.24,96.31,95.272,94.912,94.503,94.624,95.276,93.952,94.488,95.093,93.666,92.65,92.841,95.471,91.157,95.233,94.187,90.412,94.273,93.346,95.341,94.266,93.634,93.386,92.593,94.176,93.378,92.68,96.382,98.868,97.243,97.356,,98.356,97.684,97.703,95.099,,96.449,94.34,96.641,99.079,89.738,97.952,94.198,96.972,90.28,99.872,98.168,98.974,97.477,96.181,98.179,97.128,99.444,96.775,,99.922,100.136,94.503,95.836,98.618,97.253,94.709,97.131,96.899,97.984,96.411,95.44,95.616,95.744,96.784,96.052,96.998,97.216,97.172,97.571,98.089
Feb-15,96.541,96.712,96.301,96.036,95.409,95.908,95.002,96.419,96.985,96.816,95.429,95.948,94.793,93.719,95.737,95.242,94.924,95.772,96.351,96.379,95.449,95.118,94.796,94.822,95.446,94.136,94.736,95.227,93.765,92.932,93.012,95.55,91.356,95.379,94.267,89.876,94.277,93.533,95.438,94.444,93.966,93.697,92.929,94.387,93.481,92.881,96.498,98.944,97.116,97.743,,98.312,97.499,97.715,95.646,,96.601,94.143,96.988,99.079,89.861,98.018,94.264,96.937,90.479,99.916,98.307,99.273,97.589,96.215,98.229,97.16,99.216,97.169,,100.089,100.185,94.687,95.884,98.632,97.253,94.989,97.301,96.624,98.471,96.416,95.633,95.829,95.82,96.962,96.052,97.07,97.206,97.161,97.31,98.097
Mar-15,96.676,96.87,96.394,96.169,95.644,96.066,95.201,96.526,97.008,97.018,95.665,96.21,94.887,94.138,96.122,95.75,95.105,96.123,96.515,96.518,95.469,95.464,94.944,95.036,95.565,94.352,94.915,95.339,94.07,93.112,93.402,95.653,91.681,95.529,94.516,90.064,94.572,93.786,95.531,94.642,94.308,93.87,93.245,94.73,93.891,93.14,96.875,98.967,96.895,97.685,,98.091,97.426,97.98,95.851,,96.754,94.865,97.533,99.079,90.281,98.064,94.584,96.944,90.506,100.442,98.45,99.067,97.631,96.392,98.227,97.358,98.808,97.497,,100.59,100.315,94.845,95.839,98.796,97.318,95.077,97.67,96.418,98.345,96.553,95.731,95.864,95.643,96.777,95.557,97.272,97.288,97.483,97.205,98.199
Apr-15,96.837,97.001,96.56,96.323,95.738,96.18,95.441,96.684,97.029,97.045,96.03,96.42,95.328,94.443,96.226,96.017,95.428,96.418,96.737,96.568,95.432,95.655,95.226,95.291,95.818,94.659,95.092,95.531,94.215,93.49,93.723,95.772,92,95.709,94.676,89.77,94.787,94.118,95.657,94.787,94.602,93.87,93.687,94.941,94.121,93.336,97.127,98.83,96.855,97.58,,98.471,97.336,98.116,95.933,,96.938,95.036,97.533,99.079,90.534,98.072,95.094,96.857,90.917,99.437,98.55,99.067,97.775,96.573,98.261,97.424,98.233,97.458,,100.788,100.475,95.073,95.806,98.86,97.34,95.453,97.651,96.991,98.411,96.731,96.376,96.128,95.679,96.987,97.396,97.584,97.479,97.381,97.188,98.225
May-15,96.963,97.127,96.675,96.444,95.909,96.366,95.802,96.81,96.986,97.319,96.379,96.609,95.462,94.551,96.399,96.219,95.72,96.773,97.015,96.673,95.522,95.98,95.481,95.583,96.056,94.833,95.354,95.769,94.497,93.818,93.761,95.934,92.292,95.842,94.849,90.329,94.942,94.382,95.831,95.004,94.779,94.026,93.925,95.204,94.385,93.63,97.317,98.868,96.67,97.576,,98.683,97.127,98.215,96.159,,97.151,95.132,98.027,98.729,90.861,98.198,95.216,97.084,91.281,99.542,98.635,97.507,97.921,96.642,98.404,97.503,98.23,97.805,,101.211,100.672,95.121,96.085,98.822,97.435,95.453,97.7,96.563,98.326,96.858,97.085,96.271,95.882,97.269,97.396,97.694,97.509,97.671,97.046,98.178
Jun-15,97.132,97.248,96.739,96.529,96.242,96.493,95.974,96.936,97.263,97.335,96.563,96.815,95.699,94.898,96.517,96.437,95.859,96.859,97.172,96.79,95.775,96.158,95.819,95.794,96.366,95.02,95.591,95.948,94.951,94.147,94.117,96.077,92.669,96.122,95.157,91.037,95.23,94.742,95.934,95.144,95.11,93.882,94.126,95.621,94.563,93.953,97.625,98.995,96.789,97.908,,98.829,97.182,98.509,96.22,,97.309,95.449,98.052,98.729,90.767,98.282,95.584,97.511,92.063,99.68,98.74,97.964,98.098,96.725,98.51,97.604,98.314,98.141,,101.208,100.728,95.216,96.327,98.842,97.61,95.748,97.838,96.667,98.326,96.962,97.185,96.407,96.264,97.488,97.577,97.773,97.587,97.824,96.815,98.299
Jul-15,97.296,97.343,96.815,96.791,96.487,96.695,96.233,97.16,97.388,97.437,96.644,96.955,95.995,95.237,96.634,96.846,95.918,97.16,97.267,97.022,96.255,96.305,95.888,96.078,96.6,95.355,95.913,96.082,95.255,94.492,94.342,96.271,92.756,96.243,95.459,91.837,95.6,95.128,96.051,95.485,95.464,94.225,94.913,95.97,95.054,94.314,97.793,99.151,96.887,97.959,,98.93,97.606,98.429,96.715,,97.422,95.758,98.345,98.596,91.835,98.356,96.38,97.528,92.841,99.836,98.832,97.756,98.182,96.909,98.549,97.737,98.172,98.237,,100.93,100.872,95.748,96.578,98.918,97.702,96.154,97.884,96.88,98.601,97.068,97.185,96.592,95.884,97.779,97.08,97.874,97.663,97.829,96.913,98.275
Aug-15,97.443,97.487,96.927,96.943,96.613,96.832,96.48,97.317,97.695,97.456,96.851,97.127,96.097,95.531,96.929,96.837,96.08,97.761,97.408,97.317,96.548,96.541,96.053,96.346,96.789,95.711,95.991,96.246,95.555,94.764,94.609,96.471,93.001,96.477,95.683,92.667,95.899,95.369,96.258,95.779,95.709,94.653,95.294,95.97,95.34,94.608,98.448,99.15,97.19,98.148,,98.995,97.85,98.513,97.213,,97.525,95.946,98.345,98.748,92.232,98.348,96.392,97.621,93.1,99.58,98.917,97.484,98.237,97.112,98.553,97.835,98.479,98.276,,100.972,100.618,96.117,96.731,98.914,97.702,96.154,98.027,97.72,98.953,97.17,97.361,96.741,95.752,97.906,98.69,98.128,97.77,97.97,97.136,98.356
