자치구,행정동,1인가구,2인가구
종로구,사직동,1487,1073
종로구,삼청동,380,295
종로구,부암동,1129,1089
종로구,평창동,1302,1891
종로구,무악동,494,792
종로구,교남동,1219,1187
종로구,가회동,631,468
종로구,종로1.2.3.4가동,2371,770
종로구,종로5·6가동,1608,577
종로구,이화동,2094,910
종로구,창신1동,1069,659
종로구,창신2동,1288,984
종로구,창신3동,613,786
종로구,숭인1동,1007,749
종로구,숭인2동,2988,1080
종로구,청운효자동,1378,1252
종로구,혜화동,4925,1719
중구,소공동,435,244
중구,회현동,867,577
중구,명동,581,258
중구,필동,1020,485
중구,장충동,1509,565
중구,광희동,1391,676
중구,을지로동,781,230
중구,신당5동,2182,1313
중구,황학동,2963,1649
중구,중림동,1627,1390
중구,신당동,2223,944
중구,다산동,2466,1761
중구,약수동,2054,2209
중구,청구동,1924,1631
중구,동화동,795,1046
용산구,후암동,2800,1941
용산구,용산2가동,1911,1270
용산구,남영동,2382,759
용산구,원효로2동,1601,1481
용산구,효창동,1082,1136
용산구,용문동,1576,1392
용산구,이촌1동,1212,2594
용산구,이촌2동,803,1102
용산구,이태원1동,1479,845
용산구,이태원2동,1874,1139
용산구,서빙고동,1178,1330
용산구,보광동,3121,1750
용산구,청파동,5218,2251
용산구,원효로1동,2735,1861
용산구,한강로동,3755,2434
용산구,한남동,4154,2656
성동구,왕십리2동,2275,1859
성동구,마장동,3674,2511
성동구,사근동,4754,1167
성동구,행당1동,1930,1522
성동구,행당2동,1764,2625
성동구,응봉동,1053,1458
성동구,금호1가동,1538,1771
성동구,금호4가동,1624,1698
성동구,성수1가1동,2435,1889
성동구,성수1가2동,2499,1524
성동구,성수2가1동,2990,1981
성동구,성수2가3동,2091,1221
성동구,송정동,2305,1224
성동구,용답동,3111,1349
성동구,왕십리도선동,3632,2799
성동구,금호2.3가동,2519,2705
성동구,옥수동,2391,3065
광진구,화양동,12704,2435
광진구,군자동,5546,2181
광진구,중곡1동,3282,1922
광진구,중곡2동,3780,2545
광진구,중곡3동,3144,2008
광진구,중곡4동,3747,3366
광진구,능동,3251,1407
광진구,구의1동,5591,2563
광진구,구의2동,3049,2802
광진구,구의3동,3110,2871
광진구,광장동,1501,2244
광진구,자양1동,4616,2642
광진구,자양2동,3098,2678
광진구,자양3동,2131,2587
광진구,자양4동,3751,2129
동대문구,회기동,4044,1103
동대문구,휘경1동,3336,1391
동대문구,휘경2동,4785,2335
동대문구,청량리동,3236,2517
