No,자치구,동,번지,인근지하철역,합계,공공,민간,도로명주소,경도,위도,상태
1,광진구,구의동,587-64,강변역,84,18,66,구의강변로 53,127.091899967812,37.535733010334,정좌표
2,서대문구,충정로 3가,480,충정로역,499,49,450,경기대로 26-26,126.962453001701,37.5614079218265,정좌표
3,성동구,용답동,233-1,장한평역,170,22,148,천호대로 416,127.065098190439,37.5609878876993,정좌표
4,마포구,서교동,395-43,합정역,1121,199,922,양화로 72,127.557120556735,37.2293057148185,정좌표
5,종로구,숭인동,207-32,동묘역,238,31,207,난계로29길 55,127.020174198326,37.5735847906395,정좌표
6,강서구,등촌동,648-5,등촌역,285,19,266,공항대로59가길 14,126.864587194498,37.55176627995,정좌표
7,강서구,염창동,274-17,등촌역,520,49,471,공항대로 543,126.866412234587,37.5507384596496,정좌표
8,동작구,노량진동,37-1외7,노량진역,273,37,236,노량진로8길 55,126.938566954466,37.5123748198126,정좌표
9,동대문구,휘경동,192-1,회기역,99,8,91,망우로21나길 6,127.060711416784,37.590499814888,정좌표
10,용산구,한강로2가,2-350일대,삼각지역,1226,421,805,백범로99길 40,126.97179937572,37.5362066490356,정좌표
11,서초구,서초동,1502-12외1,서초역,280,68,212,반포대로27길 13,127.007605158099,37.4896936685399,정좌표
12,강서구,화곡동,401-1,화곡역,57,9,48,강서로 145,126.841415371987,37.5399004685179,정좌표
13,마포구,창전동,19-8 외1,광흥창역,681,120,561,서강로 75-16,126.931320291943,37.5496392023099,정좌표
14,마포구,상수동,355-2,상수역,95,27,68,토정로 131,126.925412819655,37.5454136576436,정좌표
15,영등포구,도림동,250-20,도림사거리역,99,18,81,도신로 59,126.899250128574,37.5060263282684,정좌표
16,강서구,화곡동,1013-3외4,우장산역,572,87,485,강서로 231,126.835970266447,37.5462605056631,정좌표
17,강동구,천호동,458-3외7,천호역,225,50,175,천호대로 989,127.122399521297,37.5394612569717,정좌표
18,강서구,등촌동,671-1,발산역,252,53,199,강서로56길 44,126.841104335187,37.5591626996975,정좌표
19,중랑구,상봉동,109-34,상봉역,83,6,77,봉우재로 111,127.085276927188,37.592690986197,정좌표
20,강서구,화곡동,1073-11,화곡역,83,6,77,화곡로 146,126.837946105449,37.5406900255992,정좌표
21,중랑구,묵동,176-39외3,먹골역,235,24,211,공릉로2길 8-4,127.078246337926,37.61184452588,정좌표
22,광진구,구의동,593-11,강변역,98,28,70,구의강변로 51,127.091777797718,37.535435140837,정좌표
23,노원구,공릉동,617-3외2,태릉입구역,270,75,195,동일로 1000,127.07552469486,37.6194859945605,정좌표
24,도봉구,쌍문동,103-6,쌍문역,288,70,218,도봉로 445,127.032590928048,37.6458681660181,정좌표
