행정구역,2021년_총인구수,2021년_세대수,2021년_세대당 인구
서울특별시 종로구 청운효자동(1111051500),"11,978","5,241",2.29
서울특별시 종로구 사직동(1111053000),"9,372","4,696",2
서울특별시 종로구 삼청동(1111054000),"2,456","1,229",2
서울특별시 종로구 부암동(1111055000),"9,579","4,265",2.25
서울특별시 종로구 평창동(1111056000),"18,152","7,509",2.42
서울특별시 종로구 무악동(1111057000),"8,259","3,069",2.69
서울특별시 종로구 교남동(1111058000),"10,046","4,458",2.25
서울특별시 종로구 가회동(1111060000),"4,088","1,991",2.05
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,197","5,247",1.37
서울특별시 종로구 종로5.6가동(1111063000),"5,089","3,385",1.5
서울특별시 종로구 이화동(1111064000),"7,231","4,298",1.68
서울특별시 종로구 혜화동(1111065000),"16,383","9,187",1.78
서울특별시 종로구 창신제1동(1111067000),"4,891","2,823",1.73
서울특별시 종로구 창신제2동(1111068000),"7,911","4,043",1.96
서울특별시 종로구 창신제3동(1111069000),"6,575","2,798",2.35
서울특별시 종로구 숭인제1동(1111070000),"5,837","2,970",1.97
서울특별시 종로구 숭인제2동(1111071000),"9,639","6,285",1.53
서울특별시 중구 소공동(1114052000),"2,250","1,296",1.74
서울특별시 중구 회현동(1114054000),"4,784","2,748",1.74
서울특별시 중구 명동(1114055000),"2,884","1,539",1.87
서울특별시 중구 필동(1114057000),"4,023","2,479",1.62
서울특별시 중구 장충동(1114058000),"4,590","2,750",1.67
서울특별시 중구 광희동(1114059000),"5,255","3,390",1.55
서울특별시 중구 을지로동(1114060500),"1,738","1,345",1.29
서울특별시 중구 신당동(1114061500),"7,673","4,729",1.62
서울특별시 중구 다산동(1114062500),"13,798","6,886",2
서울특별시 중구 약수동(1114063500),"16,676","7,834",2.13
서울특별시 중구 청구동(1114064500),"13,588","6,287",2.16
서울특별시 중구 신당제5동(1114065000),"10,363","5,387",1.92
서울특별시 중구 동화동(1114066500),"10,266","4,090",2.51
서울특별시 중구 황학동(1114067000),"12,576","7,088",1.77
서울특별시 중구 중림동(1114068000),"12,035","5,671",2.12
서울특별시 용산구 후암동(1117051000),"16,833","8,465",1.99
서울특별시 용산구 용산2가동(1117052000),"9,456","5,247",1.8
서울특별시 용산구 남영동(1117053000),"7,351","5,189",1.42
서울특별시 용산구 청파동(1117055500),"19,471","11,080",1.76
서울특별시 용산구 원효로제1동(1117056000),"15,950","8,105",1.97
서울특별시 용산구 원효로제2동(1117057000),"13,751","5,985",2.3
서울특별시 용산구 효창동(1117058000),"10,037","4,375",2.29
서울특별시 용산구 용문동(1117059000),"11,863","5,377",2.21
서울특별시 용산구 한강로동(1117062500),"21,763","11,713",1.86
서울특별시 용산구 이촌제1동(1117063000),"25,893","9,542",2.71
서울특별시 용산구 이촌제2동(1117064000),"8,303","3,693",2.25
서울특별시 용산구 이태원제1동(1117065000),"6,392","3,628",1.76
서울특별시 용산구 이태원제2동(1117066000),"8,997","4,918",1.83
서울특별시 용산구 한남동(1117068500),"20,389","10,970",1.86
서울특별시 용산구 서빙고동(1117069000),"13,051","5,322",2.45
서울특별시 용산구 보광동(1117070000),"13,453","7,427",1.81
서울특별시 성동구 왕십리제2동(1120052000),"16,475","7,411",2.22
서울특별시 성동구 왕십리도선동(1120053500),"26,430","11,867",2.23
서울특별시 성동구 마장동(1120054000),"22,362","10,968",2.04
서울특별시 성동구 사근동(1120055000),"11,915","7,945",1.5
서울특별시 성동구 행당제1동(1120056000),"13,904","6,468",2.15
서울특별시 성동구 행당제2동(1120057000),"23,280","9,220",2.52
서울특별시 성동구 응봉동(1120058000),"15,408","6,063",2.54
서울특별시 성동구 금호1가동(1120059000),"15,240","6,552",2.33
서울특별시 성동구 금호2.3가동(1120061500),"22,735","10,118",2.25
서울특별시 성동구 금호4가동(1120062000),"14,325","6,370",2.25
서울특별시 성동구 옥수동(1120064500),"26,033","10,900",2.39
서울특별시 성동구 성수1가제1동(1120065000),"16,514","7,784",2.12
서울특별시 성동구 성수1가제2동(1120066000),"12,643","6,175",2.05
서울특별시 성동구 성수2가제1동(1120067000),"15,806","8,163",1.94
서울특별시 성동구 성수2가제3동(1120069000),"10,757","5,554",1.94
서울특별시 성동구 송정동(1120072000),"10,516","5,600",1.88
서울특별시 성동구 용답동(1120079000),"11,647","7,075",1.65
서울특별시 광진구 화양동(1121571000),"23,138","17,777",1.3
서울특별시 광진구 군자동(1121573000),"19,591","11,323",1.73
서울특별시 광진구 중곡제1동(1121574000),"15,496","8,378",1.85
서울특별시 광진구 중곡제2동(1121575000),"21,428","10,645",2.01
서울특별시 광진구 중곡제3동(1121576000),"16,135","8,461",1.91
서울특별시 광진구 중곡제4동(1121577000),"28,577","13,174",2.17
서울특별시 광진구 능동(1121578000),"11,301","6,401",1.77
서울특별시 광진구 광장동(1121581000),"34,665","11,910",2.91
서울특별시 광진구 자양제1동(1121582000),"22,285","11,911",1.87
서울특별시 광진구 자양제2동(1121583000),"24,632","11,014",2.24
서울특별시 광진구 자양제3동(1121584000),"28,073","11,093",2.53
서울특별시 광진구 자양제4동(1121584700),"17,957","9,959",1.8
서울특별시 광진구 구의제1동(1121585000),"21,542","12,154",1.77
서울특별시 광진구 구의제2동(1121586000),"26,522","11,593",2.29
서울특별시 광진구 구의제3동(1121587000),"28,654","12,156",2.36
서울특별시 동대문구 용신동(1123053600),"31,619","18,938",1.67
서울특별시 동대문구 제기동(1123054500),"24,617","13,423",1.83
서울특별시 동대문구 전농제1동(1123056000),"29,198","14,863",1.96
서울특별시 동대문구 전농제2동(1123057000),"18,557","7,642",2.43
서울특별시 동대문구 답십리제1동(1123060000),"28,991","13,089",2.21
서울특별시 동대문구 답십리제2동(1123061000),"28,334","12,656",2.24
서울특별시 동대문구 장안제1동(1123065000),"38,241","18,428",2.08
서울특별시 동대문구 장안제2동(1123066000),"32,484","14,056",2.31
서울특별시 동대문구 청량리동(1123070500),"18,813","9,675",1.94
서울특별시 동대문구 회기동(1123071000),"10,498","6,549",1.6
서울특별시 동대문구 휘경제1동(1123072000),"13,927","7,624",1.83
서울특별시 동대문구 휘경제2동(1123073000),"24,115","12,114",1.99
서울특별시 동대문구 이문제1동(1123074000),"18,019","10,418",1.73
서울특별시 동대문구 이문제2동(1123075000),"19,987","8,744",2.29
서울특별시 중랑구 면목제2동(1126052000),"24,049","12,180",1.97
서울특별시 중랑구 면목제4동(1126054000),"19,029","9,137",2.08
서울특별시 중랑구 면목제5동(1126055000),"14,784","6,439",2.3
서울특별시 중랑구 면목본동(1126056500),"33,478","17,660",1.9
서울특별시 중랑구 면목제7동(1126057000),"21,756","10,600",2.05
서울특별시 중랑구 면목제3.8동(1126057500),"24,759","12,668",1.95
서울특별시 중랑구 상봉제1동(1126058000),"24,046","10,266",2.34
서울특별시 중랑구 상봉제2동(1126059000),"20,341","12,269",1.66
서울특별시 중랑구 중화제1동(1126060000),"19,611","9,085",2.16
서울특별시 중랑구 중화제2동(1126061000),"24,875","13,631",1.82
서울특별시 중랑구 묵제1동(1126062000),"34,443","14,854",2.32
서울특별시 중랑구 묵제2동(1126063000),"18,718","9,259",2.02
서울특별시 중랑구 망우본동(1126065500),"32,155","15,689",2.05
서울특별시 중랑구 망우제3동(1126066000),"16,359","8,238",1.99
서울특별시 중랑구 신내1동(1126068000),"38,512","14,704",2.62
서울특별시 중랑구 신내2동(1126069000),"20,435","9,033",2.26
서울특별시 성북구 성북동(1129052500),"16,522","8,225",2.01
서울특별시 성북구 삼선동(1129055500),"22,871","11,531",1.98
서울특별시 성북구 동선동(1129057500),"15,480","9,534",1.62
서울특별시 성북구 돈암제1동(1129058000),"14,687","6,114",2.4
서울특별시 성북구 돈암제2동(1129059000),"23,825","8,594",2.77
서울특별시 성북구 안암동(1129060000),"14,936","9,385",1.59
서울특별시 성북구 보문동(1129061000),"15,416","7,739",1.99
서울특별시 성북구 정릉제1동(1129062000),"18,178","7,369",2.47
서울특별시 성북구 정릉제2동(1129063000),"23,048","9,902",2.33
서울특별시 성북구 정릉제3동(1129064000),"15,046","7,879",1.91
서울특별시 성북구 정릉제4동(1129065000),"24,873","10,860",2.29
서울특별시 성북구 길음제1동(1129066000),"35,462","12,519",2.83
서울특별시 성북구 길음제2동(1129068500),"16,653","6,905",2.41
서울특별시 성북구 종암동(1129070500),"38,809","17,149",2.26
서울특별시 성북구 월곡제1동(1129071500),"26,335","10,854",2.43
서울특별시 성북구 월곡제2동(1129072500),"19,442","9,617",2.02
서울특별시 성북구 장위제1동(1129076000),"24,315","10,777",2.26
서울특별시 성북구 장위제2동(1129077000),"13,740","6,716",2.05
서울특별시 성북구 장위제3동(1129078000),"15,855","6,499",2.44
서울특별시 성북구 석관동(1129081000),"35,035","16,849",2.08
서울특별시 강북구 삼양동(1130553400),"23,629","11,126",2.12
서울특별시 강북구 미아동(1130553500),"21,504","11,687",1.84
서울특별시 강북구 송중동(1130554500),"29,478","13,975",2.11
서울특별시 강북구 송천동(1130555500),"26,380","13,549",1.95
서울특별시 강북구 삼각산동(1130557500),"31,361","11,577",2.71
서울특별시 강북구 번1동(1130559500),"18,353","10,279",1.79
서울특별시 강북구 번2동(1130560300),"15,847","7,597",2.09
서울특별시 강북구 번3동(1130560800),"16,846","7,478",2.25
서울특별시 강북구 수유1동(1130561500),"20,639","10,419",1.98
서울특별시 강북구 수유2동(1130562500),"21,278","9,866",2.16
서울특별시 강북구 수유3동(1130563500),"22,983","12,921",1.78
서울특별시 강북구 우이동(1130564500),"20,542","9,613",2.14
서울특별시 강북구 인수동(1130566000),"30,342","14,449",2.1
서울특별시 도봉구 창제1동(1132051100),"24,706","10,957",2.25
