기간,자치구,동,계,20~24세,25~29세,30~34세,35~39세
2021,종로구,사직동,9084,473,726,735.5,683.5
2021,종로구,삼청동,2441.5,141,174,155,169
2021,종로구,부암동,9518,591,672.5,593,604.5
2021,종로구,평창동,17852,1125.5,1247,1014,1163.5
2021,종로구,무악동,8258.5,477,441,383.5,528.5
2021,종로구,교남동,10070.5,535,695,785,844
2021,종로구,가회동,4042.5,214,265,252,295
2021,종로구,종로1.2.3.4가동,6557,331.5,562,477.5,439
2021,종로구,종로5·6가동,5016.5,412,680,440.5,273.5
2021,종로구,이화동,7189.5,569.5,1050.5,750.5,460
2021,종로구,창신1동,4762,266.5,334.5,289.5,242.5
2021,종로구,창신2동,7925.5,509,616,493.5,402.5
2021,종로구,창신3동,6641,411.5,521,458,481.5
2021,종로구,숭인1동,5845,341,434,403,401.5
2021,종로구,숭인2동,9367,768.5,1373,945,619.5
2021,종로구,청운효자동,11915.5,735.5,826,745,866
2021,종로구,혜화동,16281,2236.5,2159.5,1159,860.5
2021,중구,소공동,2083.5,82,153,220,233
2021,중구,회현동,4446.5,194,297.5,258.5,248
2021,중구,명동,2698,135,229,198,183.5
2021,중구,필동,3834.5,348,370.5,348.5,288.5
2021,중구,장충동,4516.5,638.5,588,353.5,298
2021,중구,광희동,4986,364,610.5,489,353
2021,중구,을지로동,1642.5,60.5,147.5,182,121
2021,중구,신당5동,10249,657.5,993.5,919.5,787
2021,중구,황학동,12339.5,701.5,1401,1466.5,1310.5
2021,중구,중림동,12001.5,606.5,782.5,979,1192.5
2021,중구,신당동,7492.5,480,883.5,718.5,591.5
2021,중구,다산동,13721.5,930.5,1372,1164.5,1040.5
2021,중구,약수동,16569.5,857.5,1132,1081,1265
2021,중구,청구동,13574.5,782,1135,1128.5,1012.5
2021,중구,동화동,10275,615.5,759.5,626,674.5
2021,용산구,후암동,16719.5,961.5,1509,1414.5,1353
2021,용산구,용산2가동,9361.5,528,955,914.5,762
2021,용산구,남영동,7006.5,357.5,574,574.5,424.5
2021,용산구,원효로2동,13665,823.5,1029.5,1012,1064.5
2021,용산구,효창동,9954,660,881,915.5,918
2021,용산구,용문동,11865,754.5,1039.5,999.5,975.5
2021,용산구,이촌1동,25898,1446.5,1338.5,1413.5,1948
2021,용산구,이촌2동,8317,397.5,494.5,645.5,761.5
2021,용산구,이태원1동,6175.5,342.5,690.5,591,500
2021,용산구,이태원2동,8578.5,492.5,883.5,821.5,781.5
2021,용산구,서빙고동,12766,931,832.5,691.5,765.5
2021,용산구,보광동,13317,791,1347,1078.5,974.5
2021,용산구,청파동,19155.5,1795,2408,1848,1282.5
2021,용산구,원효로1동,15662.5,884.5,1546.5,1872,1749.5
2021,용산구,한강로동,20330,1230,2180,2423.5,1944.5
2021,용산구,한남동,19614,977,1683.5,1875,1952.5
2021,성동구,왕십리2동,16537.5,1014,1420.5,1423,1455
2021,성동구,마장동,22282.5,1900.5,2383.5,1768,1459
2021,성동구,사근동,11729.5,2361.5,2325.5,929,634.5
2021,성동구,행당1동,13781.5,943.5,1265.5,1146.5,1093.5
2021,성동구,행당2동,23418.5,1458.5,1456.5,1723.5,1867
2021,성동구,응봉동,15375,877,853.5,959,1231.5
2021,성동구,금호1가동,15300,800.5,947,1112.5,1514.5
2021,성동구,금호4가동,14326.5,586.5,874.5,1157.5,1507.5
2021,성동구,성수1가1동,16277,1022,1488.5,1492.5,1349
2021,성동구,성수1가2동,12835.5,807.5,1251,1271,1095.5
2021,성동구,성수2가1동,15950.5,863.5,1395,1354.5,1167.5
2021,성동구,성수2가3동,10713,695.5,1258.5,1028,867
2021,성동구,송정동,10439,651,1033.5,837.5,765.5
2021,성동구,용답동,11506,805,1354,914.5,737
2021,성동구,왕십리도선동,26424,1752.5,2499.5,2175,2440.5
2021,성동구,금호2.3가동,22690.5,1230,1596.5,1870.5,2193.5
2021,성동구,옥수동,25846.5,1202.5,1635.5,2138,2757.5
2021,광진구,화양동,22503,4164,5697.5,2852.5,1557.5
2021,광진구,군자동,19499,1698.5,2776,1999,1588
2021,광진구,중곡1동,15427,1009.5,1802.5,1636,1320.5
2021,광진구,중곡2동,21433,1357.5,2446,2063,1796
2021,광진구,중곡3동,16162.5,1015.5,1621,1471.5,1216
2021,광진구,중곡4동,28620,1848,2537,2237,2026
2021,광진구,능동,11295.5,759,1581.5,1455.5,1139.5
2021,광진구,구의1동,21551.5,1703.5,3033.5,2429.5,1783.5
2021,광진구,구의2동,26430,1654.5,2037,1794,1990.5
2021,광진구,구의3동,28674,2011,2592,2395.5,2154
2021,광진구,광장동,34715,2182,1854,1493,2170.5
2021,광진구,자양1동,22234.5,1652,2628,2029.5,1690
2021,광진구,자양2동,24804.5,1571.5,2162,1894.5,1889.5
2021,광진구,자양3동,28084,1792.5,2043,1971.5,2193.5
2021,광진구,자양4동,17557,1046.5,1745.5,1389,1270.5
2021,동대문구,회기동,10291,1621.5,1643,848,620.5
2021,동대문구,휘경1동,13586,1691.5,1740,1109.5,1056
2021,동대문구,휘경2동,23994.5,2799.5,2593,1506.5,1451.5
2021,동대문구,청량리동,18951,974.5,1276,1032.5,1094
2021,동대문구,용신동,30866,2281.5,3870,3061,2392.5
2021,동대문구,제기동,24342,2059,2339,1651.5,1555.5
2021,동대문구,전농1동,29152,2060,2482.5,2075.5,2133.5
2021,동대문구,전농2동,18637,1109.5,1159,1046.5,1165
2021,동대문구,답십리2동,28449.5,1590.5,2069,2182.5,2202
2021,동대문구,장안1동,37976,2133.5,3117,3045,3172.5
2021,동대문구,장안2동,32367.5,1814,2000,2174,2810
2021,동대문구,이문1동,17825,2477.5,2240,1193,940.5
2021,동대문구,이문2동,19993.5,1367,1418.5,1155.5,1296.5
2021,동대문구,답십리1동,28635,1749,2299.5,2353.5,2839
2021,중랑구,면목2동,24172,1407.5,1886.5,1668.5,1579.5
2021,중랑구,면목4동,18687.5,1070.5,1386,1259,1373.5
2021,중랑구,면목5동,14505,745.5,1008.5,1173,1469
2021,중랑구,면목7동,21802,1205.5,1831.5,1741,1578.5
2021,중랑구,상봉1동,24189.5,1524.5,1937,1775,1810
2021,중랑구,상봉2동,19787,1290,2831,2507.5,1767
2021,중랑구,중화1동,19719,1109,1716.5,1643,1504
2021,중랑구,중화2동,24833,1462.5,2204.5,1883,1757.5
2021,중랑구,묵1동,34614,2240,2657.5,2320,2484
2021,중랑구,묵2동,18864,1039.5,1622,1499,1458
2021,중랑구,망우3동,16529,998,1235.5,1037,1031.5
2021,중랑구,신내1동,38887,2247.5,2566,2252,2631.5
2021,중랑구,신내2동,20667,1124,1353,1360,1500
2021,중랑구,면목본동,33642,2061.5,3207.5,2763,2459
2021,중랑구,면목3.8동,24857,1519,2186,1860,1660
2021,중랑구,망우본동,30861.5,1702.5,2487.5,2180.5,2138.5
2021,성북구,돈암1동,14837.5,991.5,1020,987,940.5
2021,성북구,돈암2동,23973,1518,1389,1324,1640.5
2021,성북구,안암동,14788.5,2529.5,2585.5,1170.5,831.5
2021,성북구,보문동,15339.5,1091,1565.5,1325,1249.5
2021,성북구,정릉1동,18203,1174.5,1077.5,1162,1388.5
2021,성북구,정릉2동,23001.5,1527.5,1687,1434,1655.5
2021,성북구,정릉3동,15021.5,1622.5,1494,1035,814
2021,성북구,정릉4동,24867,1620.5,1598.5,1429,1708
2021,성북구,길음1동,35593,1883,1523.5,1652.5,2792
2021,성북구,길음2동,16545,1023,1015.5,1079,1366.5
2021,성북구,월곡1동,26320,1434,1553.5,1561.5,1949
2021,성북구,월곡2동,19437.5,1642,1871.5,1398,1305
2021,성북구,장위1동,21992.5,1504,1669.5,1435,1474.5
2021,성북구,장위2동,13484.5,861.5,1059,919.5,808.5
2021,성북구,장위3동,16285,1005.5,1094.5,1066,1533.5
2021,성북구,성북동,16311,1205,1552.5,1311,1154.5
2021,성북구,삼선동,22845.5,2003,2209.5,1713.5,1537.5
2021,성북구,동선동,15238,2214.5,2293.5,1443.5,1037.5
2021,성북구,종암동,38820.5,2676.5,3005,2398.5,2682
2021,성북구,석관동,34905,2251,2871,2417,2492
2021,강북구,번1동,18417.5,1324,1853,1419,1283.5
2021,강북구,번2동,15969,975.5,1183,813,925
2021,강북구,번3동,17028.5,957,913.5,783.5,884
2021,강북구,수유1동,20608,1272.5,1754.5,1402.5,1327
2021,강북구,수유2동,21125.5,1364.5,1548.5,1258,1268
2021,강북구,수유3동,22846.5,1691,2470,1773,1540
2021,강북구,삼양동,23629.5,1466,1598.5,1380,1527.5
2021,강북구,미아동,21581,1656.5,2089,1532.5,1311.5
2021,강북구,송중동,29417.5,1867.5,2322.5,1956.5,2018
2021,강북구,송천동,26447,1546,1999,1565.5,1608
2021,강북구,삼각산동,31391.5,1832,1493,1481,2215
2021,강북구,우이동,20365,1214,1368,1268.5,1279.5
2021,강북구,인수동,30422,1778,2177,1802.5,1937.5
2021,도봉구,쌍문1동,21280,1425.5,1534.5,1236.5,1307
2021,도봉구,쌍문2동,18747,1100,1382.5,1235,1298
2021,도봉구,쌍문3동,16493,1038.5,1411,1175,1156
2021,도봉구,쌍문4동,18787,1213.5,1261,1028.5,1230
2021,도봉구,방학1동,28548.5,1817.5,2054,1606.5,1661
2021,도봉구,방학2동,19681,1262.5,1363.5,1023,1118.5
2021,도봉구,방학3동,27237,1623,1622.5,1484,1619.5
2021,도봉구,창1동,24677.5,1530,1704.5,1594,1710.5
2021,도봉구,창2동,29150,1866,2245.5,1931.5,2075.5
2021,도봉구,창3동,13912,828.5,941.5,781,860.5
2021,도봉구,창4동,26608,1745,1858,1575,1745.5
2021,도봉구,창5동,24654.5,1666,1955.5,1691.5,1794
2021,도봉구,도봉1동,21021.5,1120,1416.5,1122,1180
2021,도봉구,도봉2동,26997.5,1462,1775,1642,1875.5
2021,노원구,월계1동,21743,1978.5,1784.5,1293,1328.5
2021,노원구,월계2동,26791.5,1606,1548,1388.5,1728.5
2021,노원구,월계3동,29981.5,1626,1869,2101,2416
2021,노원구,공릉2동,39760,3653,3007,2523,2814.5
2021,노원구,하계1동,26804,2503.5,1998,1434.5,1256.5
2021,노원구,하계2동,22170,1566,1412.5,1186.5,1322.5
2021,노원구,중계본동,24213,1803.5,1325.5,805,1021.5
2021,노원구,중계1동,26954,1747,1171.5,777.5,1177
2021,노원구,중계4동,20156.5,1380.5,1148,853,1079
2021,노원구,상계1동,38205,2511,2643,2280.5,2498.5
2021,노원구,상계2동,20046.5,1595,1625.5,1170.5,1108.5
2021,노원구,상계5동,24003.5,1622.5,1743.5,1304.5,1286
2021,노원구,상계8동,22586.5,1203.5,1450,2258.5,2453.5
2021,노원구,상계9동,20661.5,1398,1294.5,1296.5,1441.5
2021,노원구,상계10동,17980.5,1218,1335.5,1358,1420
2021,노원구,상계3.4동,26196,1580,1570.5,1318.5,1542
2021,노원구,상계6.7동,32742.5,2100,2383.5,2359.5,2464
2021,노원구,중계2.3동,34512.5,2162,2020,1980.5,2194
2021,노원구,공릉1동,36766.5,3215.5,3429.5,2572.5,2628
2021,은평구,녹번동,36541.5,2070.5,2874.5,2921,3053.5
2021,은평구,불광1동,38547.5,2245.5,2992.5,2637.5,2724
2021,은평구,갈현1동,22236.5,1538.5,2045,1566,1374
2021,은평구,갈현2동,28193,1978.5,2340,1857.5,1961.5
2021,은평구,구산동,32037,2000,2359,1884.5,2146.5
2021,은평구,대조동,26504.5,1875.5,2937,2273,1899.5
2021,은평구,응암1동,31562.5,1808.5,2497,2585.5,2694.5
2021,은평구,응암2동,27242,1284.5,1379.5,1932,2964
2021,은평구,신사1동,27003,1677.5,2162.5,1953,2050
