자치구,행정동명,주택보급률(%)
종로구,사직동,0.7240000000000001
종로구,삼청동,0.708
종로구,부암동,0.8140000000000001
종로구,평창동,0.951
종로구,무악동,0.992
종로구,교남동,0.9540000000000001
종로구,가회동,0.924
종로구,종로1.2.3.4가동,0.45399999999999996
종로구,종로5·6가동,0.49
종로구,이화동,0.6759999999999999
종로구,창신1동,0.679
종로구,창신2동,0.708
종로구,창신3동,0.828
종로구,숭인1동,0.606
종로구,숭인2동,0.6629999999999999
종로구,청운효자동,0.887
종로구,혜화동,0.575
중구,소공동,0.741
중구,회현동,0.868
중구,명동,0.516
중구,필동,0.625
중구,장충동,0.9259999999999999
중구,광희동,0.7140000000000001
중구,을지로동,0.379
중구,신당5동,0.682
중구,황학동,0.637
중구,중림동,0.8690000000000001
중구,신당동,0.627
중구,다산동,0.72
중구,약수동,0.951
중구,청구동,0.855
중구,동화동,0.843
용산구,후암동,0.736
용산구,용산2가동,0.72
용산구,남영동,0.452
용산구,원효로2동,0.851
용산구,효창동,0.883
용산구,용문동,0.857
용산구,이촌1동,1.063
용산구,이촌2동,1.034
용산구,이태원1동,0.708
용산구,이태원2동,0.738
용산구,서빙고동,0.9079999999999999
용산구,보광동,0.54
용산구,청파동,0.573
용산구,원효로1동,0.759
용산구,한강로동,0.7709999999999999
용산구,한남동,0.866
성동구,왕십리2동,0.731
성동구,마장동,0.675
성동구,사근동,0.445
성동구,행당1동,0.868
성동구,행당2동,0.97
성동구,응봉동,0.968
성동구,금호1가동,0.996
성동구,금호4가동,0.899
성동구,성수1가1동,0.706
성동구,성수1가2동,0.605
성동구,성수2가1동,0.578
성동구,성수2가3동,0.602
성동구,송정동,0.461
성동구,용답동,0.426
성동구,왕십리도선동,0.7709999999999999
성동구,금호2.3가동,0.8109999999999999
성동구,옥수동,0.983
광진구,화양동,0.319
광진구,군자동,0.445
광진구,중곡1동,0.49200000000000005
광진구,중곡2동,0.519
광진구,중곡3동,0.512
광진구,중곡4동,0.617
광진구,능동,0.419
광진구,구의1동,0.47200000000000003
광진구,구의2동,0.7020000000000001
광진구,구의3동,0.816
광진구,광장동,0.9279999999999999
