자치구,행정동명,청년인구 수
종로구,사직동,2618.0
종로구,삼청동,639.0
종로구,부암동,2461.0
종로구,평창동,4550.0
종로구,무악동,1830.0
종로구,교남동,2859.0
종로구,가회동,1026.0
종로구,종로1.2.3.4가동,1810.0
종로구,종로5·6가동,1806.0
종로구,이화동,2830.5
종로구,창신1동,1133.0
종로구,창신2동,2021.0
종로구,창신3동,1872.0
종로구,숭인1동,1579.5
종로구,숭인2동,3706.0
종로구,청운효자동,3172.5
종로구,혜화동,6415.5
중구,소공동,688.0
중구,회현동,998.0
중구,명동,745.5
중구,필동,1355.5
중구,장충동,1878.0
중구,광희동,1816.5
중구,을지로동,511.0
중구,신당5동,3357.5
중구,황학동,4879.5
중구,중림동,3560.5
중구,신당동,2673.5
중구,다산동,4507.5
중구,약수동,4335.5
중구,청구동,4058.0
중구,동화동,2675.5
용산구,후암동,5238.0
용산구,용산2가동,3159.5
용산구,남영동,1930.5
용산구,원효로2동,3929.5
용산구,효창동,3374.5
용산구,용문동,3769.0
용산구,이촌1동,6146.5
용산구,이촌2동,2299.0
용산구,이태원1동,2124.0
용산구,이태원2동,2979.0
용산구,서빙고동,3220.5
용산구,보광동,4191.0
용산구,청파동,7333.5
용산구,원효로1동,6052.5
용산구,한강로동,7778.0
용산구,한남동,6488.0
성동구,왕십리2동,5312.5
성동구,마장동,7511.0
성동구,사근동,6250.5
성동구,행당1동,4449.0
성동구,행당2동,6505.5
성동구,응봉동,3921.0
성동구,금호1가동,4374.5
성동구,금호4가동,4126.0
성동구,성수1가1동,5352.0
성동구,성수1가2동,4425.0
성동구,성수2가1동,4780.5
성동구,성수2가3동,3849.0
성동구,송정동,3287.5
성동구,용답동,3810.5
성동구,왕십리도선동,8867.5
성동구,금호2.3가동,6890.5
성동구,옥수동,7733.5
광진구,화양동,14271.5
광진구,군자동,8061.5
광진구,중곡1동,5768.5
광진구,중곡2동,7662.5
광진구,중곡3동,5324.0
광진구,중곡4동,8648.0
광진구,능동,4935.5
광진구,구의1동,8950.0
광진구,구의2동,7476.0
광진구,구의3동,9152.5
광진구,광장동,7699.5
광진구,자양1동,7999.5
광진구,자양2동,7517.5
광진구,자양3동,8000.5
광진구,자양4동,5451.5
동대문구,회기동,4733.0
동대문구,휘경1동,5597.0
동대문구,휘경2동,8350.5
동대문구,청량리동,4377.0
동대문구,용신동,11605.0
동대문구,제기동,7605.0
동대문구,전농1동,8751.5
동대문구,전농2동,4480.0
동대문구,답십리2동,8044.0
동대문구,장안1동,11468.0
동대문구,장안2동,8798.0
동대문구,이문1동,6851.0
동대문구,이문2동,5237.5
동대문구,답십리1동,9241.0
중랑구,면목2동,6542.0
중랑구,면목4동,5089.0
중랑구,면목5동,4396.0
중랑구,면목7동,6356.5
중랑구,상봉1동,7046.5
중랑구,상봉2동,8395.5
중랑구,중화1동,5972.5
중랑구,중화2동,7307.5
중랑구,묵1동,9701.5
중랑구,묵2동,5618.5
중랑구,망우3동,4302.0
중랑구,신내1동,9697.0
중랑구,신내2동,5337.0
중랑구,면목본동,10491.0
중랑구,면목3.8동,7225.0
중랑구,망우본동,8509.0
성북구,돈암1동,3939.0
성북구,돈암2동,5871.5
성북구,안암동,7117.0
성북구,보문동,5231.0
성북구,정릉1동,4802.5
성북구,정릉2동,6304.0
성북구,정릉3동,4965.5
성북구,정릉4동,6356.0
성북구,길음1동,7851.0
성북구,길음2동,4484.0
성북구,월곡1동,6498.0
성북구,월곡2동,6216.5
성북구,장위1동,6083.0
성북구,장위2동,3648.5
성북구,장위3동,4699.5
성북구,성북동,5223.0
성북구,삼선동,7463.5
성북구,동선동,6989.0
성북구,종암동,10762.0
성북구,석관동,10031.0
강북구,번1동,5879.5
강북구,번2동,3896.5
강북구,번3동,3538.0
강북구,수유1동,5756.5
강북구,수유2동,5439.0
강북구,수유3동,7474.0
강북구,삼양동,5972.0
강북구,미아동,6589.5
강북구,송중동,8164.5
강북구,송천동,6718.5
강북구,삼각산동,7021.0
강북구,우이동,5130.0
강북구,인수동,7695.0
도봉구,쌍문1동,5503.5
도봉구,쌍문2동,5015.5
도봉구,쌍문3동,4780.5
도봉구,쌍문4동,4733.0
도봉구,방학1동,7139.0
도봉구,방학2동,4767.5
도봉구,방학3동,6349.0
도봉구,창1동,6539.0
도봉구,창2동,8118.5
도봉구,창3동,3411.5
도봉구,창4동,6923.5
도봉구,창5동,7107.0
도봉구,도봉1동,4838.5
도봉구,도봉2동,6754.5
노원구,월계1동,6384.5
노원구,월계2동,6271.0
노원구,월계3동,8012.0
노원구,공릉2동,11997.5
노원구,하계1동,7192.5
노원구,하계2동,5487.5
노원구,중계본동,4955.5
노원구,중계1동,4873.0
노원구,중계4동,4460.5
노원구,상계1동,9933.0
노원구,상계2동,5499.5
노원구,상계5동,5956.5
노원구,상계8동,7365.5
노원구,상계9동,5430.5
노원구,상계10동,5331.5
노원구,상계3.4동,6011.0
노원구,상계6.7동,9307.0
노원구,중계2.3동,8356.5
노원구,공릉1동,11845.5
은평구,녹번동,10919.5
은평구,불광1동,10599.5
은평구,갈현1동,6523.5
은평구,갈현2동,8137.5
은평구,구산동,8390.0
은평구,대조동,8985.0
은평구,응암1동,9585.5
은평구,응암2동,7560.0
은평구,신사1동,7843.0
은평구,신사2동,5613.5
은평구,증산동,4018.0
은평구,수색동,3394.5
은평구,진관동,13580.0
은평구,불광2동,8045.0
은평구,응암3동,6877.5
은평구,역촌동,12901.0
서대문구,천연동,4530.0
서대문구,홍제1동,6414.5
서대문구,홍제3동,3997.5
서대문구,홍제2동,3647.0
서대문구,홍은1동,5794.5
서대문구,홍은2동,7569.0
서대문구,남가좌1동,3824.5
서대문구,남가좌2동,8728.0
서대문구,북가좌1동,4425.5
서대문구,북가좌2동,8841.5
서대문구,충현동,6640.5
서대문구,북아현동,5092.0
서대문구,신촌동,10851.0
