시설번호,시설유형코드,시군구명,시군구코드,소재지지번주소,위도,경도,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,데이터기준일자
강촌001호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 145-1,37.78618943,127.6492375,강촌안전센터,N,Y,2007,0.7,7,100,춘천소방서,2021-11-19
강촌002호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 147-1,37.7867249,127.6479294,강촌안전센터,N,Y,2013,0.7,8,100,춘천소방서,2021-11-19
강촌003호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 126-9,37.7855228,127.6466862,강촌안전센터,Y,Y,2013,0.7,8,100,춘천소방서,2021-11-19
강촌004호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 219-15,37.7847563,127.6434883,강촌안전센터,Y,Y,2013,0.8,8,100,춘천소방서,2021-11-19
강촌005호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 238-2,37.7815501,127.6439918,강촌안전센터,Y,Y,2013,0.7,5.5,100,춘천소방서,2021-11-19
강촌006호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 300-15,37.7838965,127.6419933,강촌안전센터,Y,Y,2013,0.2,5,100,춘천소방서,2021-11-19
강촌007호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 300-11,37.7847709,127.6394011,강촌안전센터,N,Y,2009,1,4.5,100,춘천소방서,2021-11-19
강촌008호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 39-1,37.78910522,127.6503088,강촌안전센터,Y,Y,2009,0.9,7,100,춘천소방서,2021-11-19
강촌009호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 74-12,37.789569,127.6468713,강촌안전센터,Y,Y,2009,1,9,100,춘천소방서,2021-11-19
강촌010호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 75-45,37.7880725,127.646606,강촌안전센터,Y,Y,2009,1,7.5,100,춘천소방서,2021-11-19
강촌011호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 610-9,37.790241,127.6455965,강촌안전센터,Y,Y,2009,0.8,7.5,100,춘천소방서,2021-11-19
강촌012호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 11-4,37.7920632,127.6492709,강촌안전센터,Y,Y,2013,1,5.5,100,춘천소방서,2021-11-19
강촌013호,1,춘천시,42110,강원도 춘천시 남산면 창촌리 69-6,37.7914407,127.6460449,강촌안전센터,Y,Y,2009,1,7.5,100,춘천소방서,2021-11-19
강촌014호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 629-49,37.7941762,127.6418761,강촌안전센터,Y,Y,2013,0.8,8.5,100,춘천소방서,2021-11-19
강촌015호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 135-7,37.792417,127.6441464,강촌안전센터,Y,Y,2013,0.8,7,100,춘천소방서,2021-11-19
강촌016호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 139-6,37.7941653,127.6442152,강촌안전센터,Y,Y,2013,1,7,100,춘천소방서,2021-11-19
강촌017호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 245-19,37.79517873,127.6419604,강촌안전센터,Y,Y,2013,0.9,7,100,춘천소방서,2021-11-19
강촌018호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 2-1,37.79878268,127.6505812,강촌안전센터,N,Y,2010,0.9,3,100,춘천소방서,2021-11-19
강촌019호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 203-4,37.7927574,127.6376273,강촌안전센터,N,Y,2010,0.7,7.5,100,춘천소방서,2021-11-19
강촌020호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 285-7,37.7967653,127.6397994,강촌안전센터,N,Y,2010,0.8,7,100,춘천소방서,2021-11-19
강촌021호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 307,37.7996861,127.6375312,강촌안전센터,Y,Y,2010,1,4.2,100,춘천소방서,2021-11-19
강촌022호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 591,37.7932443,127.6260114,강촌안전센터,Y,Y,2010,0.8,5.5,100,춘천소방서,2021-11-19
강촌023호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 321-2,37.8026242,127.6377018,강촌안전센터,Y,Y,2010,1,6.5,100,춘천소방서,2021-11-19
강촌024호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 418-7,37.8042711,127.6370578,강촌안전센터,Y,Y,2010,1,7,100,춘천소방서,2021-11-19
강촌025호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 418-5,37.80397823,127.636283,강촌안전센터,N,Y,2010,0.6,9,100,춘천소방서,2021-11-19
강촌026호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 390-1,37.8029562,127.6372686,강촌안전센터,Y,Y,2010,0.7,9.5,100,춘천소방서,2021-11-19
강촌027호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 542,37.7883066,127.6289499,강촌안전센터,Y,Y,2010,1.1,5.4,100,춘천소방서,2021-11-19
강촌028호,1,춘천시,42110,강원도 춘천시 남산면 방곡리 399-5,37.8067835,127.6365685,강촌안전센터,Y,Y,2010,1,3,100,춘천소방서,2021-11-19
강촌029호,1,춘천시,42110,강원도 춘천시 남산면 강촌리 342-10,37.8079801,127.6360062,강촌안전센터,N,Y,2010,0.5,3,100,춘천소방서,2021-11-19
강촌030호,1,춘천시,42110,강원도 춘천시 남산면 강촌리 337-3,37.8091612,127.6362616,강촌안전센터,N,Y,2000,0.8,9,100,춘천소방서,2021-11-19
강촌031호,1,춘천시,42110,강원도 춘천시 남산면 강촌리 312-2,37.8085899,127.6352259,강촌안전센터,N,Y,2000,0.7,8,100,춘천소방서,2021-11-19
강촌032호,1,춘천시,42110,강원도 춘천시 남산면 강촌리 362-5,37.8066687,127.6315382,강촌안전센터,Y,Y,2000,0.9,8,100,춘천소방서,2021-11-19
강촌033호,1,춘천시,42110,강원도 춘천시 남산면 강촌리 372-1,37.8051928,127.6293215,강촌안전센터,Y,Y,2000,1.3,8,100,춘천소방서,2021-11-19
강촌034호,1,춘천시,42110,강원도 춘천시 남산면 강촌리 413,37.8025193,127.6243592,강촌안전센터,Y,Y,2003,1.5,5,100,춘천소방서,2021-11-19
