소방서명,연도별,아파트,기숙사,근린생활시설,문화집회 및 운동시설,종교시설,판매시설,운수시설,의료시설,교육연구시설,노유자시설,수련시설,운동시설,업무시설,숙박시설,위락시설,공장,창고시설,위험물저장및처리시설,항공기 및 자동차 관련시설,동물 및 식물관련시설,분뇨 및 쓰레기 처리시설,교정 및 군사시설,방송통신시설,발전시설,묘지관련시설,관광 휴게시설,장례식장,지하가,지하구,문화재,복합건축물
춘천소방서,2014,178,19,5315,55,167,32,9,17,214,499,19,38,458,343,125,241,365,188,154,831,25,127,15,4,4,26,3,59,1,10,461
원주소방서,2014,214,12,6425,44,185,36,20,19,122,437,11,19,275,244,71,519,609,234,129,534,54,83,22,0,2,14,2,23,3,10,446
강릉소방서,2014,184,20,3501,42,95,31,18,14,128,331,7,17,218,415,24,229,482,223,126,193,26,17,21,4,4,12,1,24,2,44,590
동해소방서,2014,98,0,1118,14,53,15,18,6,35,134,3,3,109,82,11,166,127,69,58,22,11,14,6,2,2,4,2,2,0,4,151
태백소방서,2014,49,10,1199,13,28,6,9,1,34,105,5,8,88,53,21,59,64,31,33,45,7,1,9,0,1,3,2,2,0,0,144
속초소방서,2014,99,13,3537,51,78,14,18,5,138,368,13,17,287,492,24,269,422,107,24,362,18,8,11,1,2,19,1,6,2,9,192
삼척소방서,2014,76,11,1064,19,31,7,14,3,70,254,6,3,208,36,14,107,272,65,59,328,21,17,12,1,4,12,3,9,0,13,156
홍천소방서,2014,39,2,2991,23,44,8,3,5,62,227,4,19,132,70,9,398,55,72,65,147,7,14,3,0,0,23,3,29,0,6,158
횡성소방서,2014,24,6,1101,28,40,5,5,3,75,229,10,19,185,43,20,160,270,73,20,432,13,1,10,1,1,10,2,17,0,7,58
영월소방서,2014,20,5,1172,34,26,2,8,3,44,177,6,11,109,35,6,77,21,43,15,12,9,3,2,1,0,3,1,24,1,15,130
평창소방서,2014,36,5,1068,25,46,8,4,3,57,132,18,30,131,95,20,65,210,59,28,140,18,8,14,3,1,15,1,17,0,4,52
정선소방서,2014,31,5,1043,20,36,6,16,3,61,164,3,19,151,98,24,74,120,39,32,147,12,1,8,0,2,4,1,15,0,6,84
철원소방서,2014,19,0,1537,11,40,8,3,2,37,102,5,6,193,41,7,90,99,38,60,283,11,70,4,0,1,4,,2,0,2,106
인제소방서,2014,36,3,514,15,17,3,2,3,37,114,9,3,113,62,15,23,95,39,10,130,9,62,5,1,1,18,2,9,0,5,121
고성소방서,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양양소방서,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
춘천소방서,2015,160,19,6943,57,168,32,9,17,218,503,20,38,460,352,59,278,428,170,155,831,25,128,24,4,3,26,3,59,1,10,479
원주소방서,2015,220,12,7558,44,180,32,4,21,127,437,9,13,299,227,56,532,809,237,214,601,55,86,18,1,2,14,2,23,3,10,698
강릉소방서,2015,184,17,5134,44,102,33,11,15,121,322,11,27,273,415,25,225,522,223,90,194,40,16,21,4,4,11,1,24,2,45,302
동해소방서,2015,103,0,1691,17,51,16,17,6,35,148,3,1,111,70,10,162,143,69,69,24,12,22,6,2,2,4,2,2,1,4,365
태백소방서,2015,49,10,1510,13,29,6,9,1,34,111,5,8,92,55,14,70,93,33,44,110,9,1,10,0,1,3,1,2,0,0,150
속초소방서,2015,29,12,4928,68,92,14,20,6,180,335,16,22,552,717,8,349,346,85,55,205,16,23,9,0,2,15,2,4,1,10,453
삼척소방서,2015,78,12,1551,19,32,8,17,3,71,253,6,12,222,46,12,110,295,71,63,389,24,22,15,1,2,12,2,9,0,13,166
홍천소방서,2015,40,3,3012,28,78,6,1,6,93,299,7,22,191,71,30,413,230,72,91,171,21,45,9,0,11,23,3,30,0,6,170
횡성소방서,2015,25,4,1269,26,76,3,2,3,75,241,14,23,236,40,23,168,276,73,27,612,29,1,10,1,1,9,2,17,0,7,48
영월소방서,2015,22,5,1237,44,35,1,8,2,55,188,5,13,164,36,6,105,83,41,26,255,13,3,2,1,1,5,1,24,1,15,130
평창소방서,2015,41,5,1290,39,46,5,4,3,60,168,13,16,148,113,19,73,342,65,30,376,24,7,22,3,2,17,1,17,0,4,60
정선소방서,2015,32,6,1378,24,30,6,13,4,65,166,5,18,185,118,13,98,244,44,38,283,17,2,12,0,2,5,1,15,0,5,94
철원소방서,2015,20,0,1653,14,40,8,3,2,37,102,5,6,196,41,7,91,100,38,60,483,11,74,4,0,1,4,0,2,0,2,109
인제소방서,2015,36,3,1185,15,21,4,2,3,37,116,10,3,113,62,15,23,96,43,10,130,10,62,5,1,1,18,2,9,0,5,123
고성소방서,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양양소방서,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
춘천소방서,2016,160,19,7036,57,174,32,9,17,221,506,21,40,471,309,59,286,441,170,158,848,26,133,24,5,3,26,3,61,1,10,579
원주소방서,2016,209,12,8058,46,180,32,4,21,127,437,9,13,299,227,56,532,810,237,214,601,55,86,18,1,2,9,2,26,3,10,798
강릉소방서,2016,187,17,5202,46,102,33,11,17,131,352,11,27,276,421,25,225,526,223,92,200,40,16,22,3,4,11,0,25,2,45,320
동해소방서,2016,105,0,1613,17,52,17,15,6,35,147,3,1,109,86,10,163,142,67,71,24,12,12,6,3,2,4,2,3,2,6,449
태백소방서,2016,50,10,1452,19,29,7,9,1,35,114,6,10,93,55,16,70,93,37,45,110,10,1,10,0,1,3,1,2,0,0,152
속초소방서,2016,74,3,1730,12,38,9,7,5,36,122,2,7,108,190,6,102,115,48,28,18,7,1,6,0,1,5,3,5,1,4,333
삼척소방서,2016,80,10,1467,26,35,9,21,3,62,246,6,5,209,40,15,110,219,63,58,526,25,18,12,1,2,13,2,30,1,12,228
홍천소방서,2016,42,3,2996,32,55,4,1,6,100,286,4,21,172,69,31,149,597,72,78,221,21,47,8,0,1,20,3,30,0,6,132
횡성소방서,2016,22,4,1375,28,59,3,2,4,69,229,12,25,216,48,19,196,297,71,33,630,25,1,10,1,1,8,2,17,0,7,38
영월소방서,2016,23,5,1242,46,34,1,7,2,56,189,5,13,168,36,6,105,84,41,26,243,13,3,2,1,1,5,1,29,1,13,120
평창소방서,2016,40,7,1259,39,50,6,4,3,63,184,14,16,153,129,19,80,390,65,29,330,25,8,23,3,2,18,1,15,0,4,69
정선소방서,2016,32,7,1358,27,31,6,12,3,61,166,5,18,180,114,11,93,238,44,38,261,17,2,12,0,2,5,1,15,0,5,106
철원소방서,2016,20,0,1659,15,54,4,3,2,40,102,5,11,196,42,9,93,101,38,60,483,11,74,3,0,0,4,0,2,0,0,113
인제소방서,2016,36,3,1186,15,21,4,2,3,37,119,10,3,114,62,15,23,97,43,10,130,11,65,5,1,1,18,2,9,0,5,127
고성소방서,2016,9,6,972,23,30,2,6,0,43,144,7,13,95,62,7,85,252,38,14,187,10,28,3,0,1,9,1,4,0,6,127
양양소방서,2016,21,3,1080,18,15,1,3,0,52,52,3,1,154,229,0,88,311,54,17,322,15,28,6,1,1,11,0,9,1,6,61
춘천소방서,2017,163,21,7072,57,176,32,9,17,221,512,21,43,479,310,59,291,449,171,159,848,28,137,24,9,3,26,3,46,2,10,646
원주소방서,2017,213,12,7990,46,180,33,6,22,131,442,9,15,302,228,56,542,811,238,215,601,56,88,18,1,2,9,2,26,3,10,1067
강릉소방서,2017,192,17,5260,46,102,33,11,17,131,352,11,27,278,427,25,233,530,223,92,200,41,16,22,3,4,11,0,25,2,45,372
동해소방서,2017,108,0,1514,15,52,15,12,6,35,146,3,2,110,85,10,169,140,67,73,24,12,12,6,2,2,3,2,3,1,7,582
태백소방서,2017,50,10,1456,19,29,7,9,1,35,114,6,10,93,56,16,70,93,37,46,110,10,1,10,0,1,3,1,2,0,0,160
속초소방서,2017,76,3,1736,26,39,8,8,4,36,118,3,7,108,192,6,109,114,44,28,18,7,1,6,0,1,5,3,5,1,4,349
삼척소방서,2017,81,11,1521,26,36,6,17,3,63,224,5,6,207,37,15,109,217,63,60,508,23,19,12,2,2,15,2,30,1,12,249
홍천소방서,2017,43,3,2709,24,93,4,1,4,90,90,8,34,255,77,48,148,441,70,90,640,16,72,8,0,1,18,3,55,0,6,76
횡성소방서,2017,23,4,1388,28,60,3,8,5,71,224,12,25,216,48,19,210,303,71,34,630,25,1,10,1,1,8,2,17,0,7,43
