기준년,시군별,세대수 (세대),인구-합계 (명),인구-남 (명),인구-여 (명),세대당인구 (명),65세이상 고령자 (명),평균연령 (세),인구밀도 (명/㎢),데이터기준일자
1990,전체,414567,1592512,808347,784165,3.8,,,94.2,2017-11-01
1990,춘천시,46500,174153,87703,86450,3.8,,,3268,2017-11-01
1990,원주시,43496,173013,87241,85772,4,,,2005,2017-11-01
1990,강릉시,39539,152605,76513,76092,3.9,,,200.1,2017-11-01
1990,동해시,23854,89162,44923,44239,3.7,,,495.3,2017-11-01
1990,태백시,23904,89770,46368,43402,3.8,,,346,2017-11-01
1990,속초시,19825,73796,36804,36992,3.7,,,703.4,2017-11-01
1990,삼척시,10544,41673,21388,20285,4,,,736.1,2017-11-01
1990,춘천군,10927,43629,22138,21491,4,,,41.9,2017-11-01
1990,홍천군,20032,77795,39304,38491,3.9,,,43.5,2017-11-01
1990,횡성군,13329,48487,24475,24012,3.6,,,48.1,2017-11-01
1990,원주군,12618,52161,27182,24979,4.1,,,66.8,2017-11-01
1990,영월군,16614,64588,33067,31521,3.9,,,58.7,2017-11-01
1990,평창군,14426,53257,27250,26007,3.7,,,36.5,2017-11-01
1990,정선군,23872,88382,45773,42609,3.7,,,73.6,2017-11-01
1990,철원군,14026,52603,26548,26055,3.8,,,63.9,2017-11-01
1990,화천군,8080,28876,14685,14191,3.6,,,30.2,2017-11-01
1990,양구군,7136,28649,14984,13665,4,,,46.5,2017-11-01
1990,인제군,10233,36592,18545,18047,3.6,,,18.9,2017-11-01
1990,고성군,11181,40910,20574,20336,3.7,,,65.8,2017-11-01
1990,양양군,8724,35640,17722,17918,4.1,,,57.2,2017-11-01
1990,명주군,18751,76356,39076,37280,4.1,,,80.8,2017-11-01
1990,삼척군,16956,70415,36084,34331,4.2,,,59.5,2017-11-01
1991,전체,421478,1563902,786137,777765,3.7,,,92.5,2017-11-01
1991,춘천시,50599,174035,86419,87616,3.4,,,3265.8,2017-11-01
1991,원주시,46818,164975,81807,83168,3.5,,,1959.6,2017-11-01
1991,강릉시,41135,147908,73688,74220,3.6,,,1937.5,2017-11-01
1991,동해시,25321,94445,47334,47111,3.7,,,524.7,2017-11-01
1991,태백시,22218,85770,43812,41958,3.9,,,330.6,2017-11-01
1991,속초시,20587,72208,35889,36319,3.5,,,688.2,2017-11-01
1991,삼척시,10864,40556,20302,20254,3.7,,,716.5,2017-11-01
1991,춘천군,11393,43034,21774,21260,3.8,,,41.4,2017-11-01
1991,홍천군,20641,80891,40752,40139,3.9,,,45.3,2017-11-01
1991,횡성군,13348,52354,26484,25870,3.9,,,52,2017-11-01
1991,원주군,13176,48891,24781,24110,3.7,,,62.6,2017-11-01
1991,영월군,15849,61611,30961,30650,3.9,,,55.9,2017-11-01
1991,평창군,14364,55488,28190,27298,3.9,,,38,2017-11-01
1991,정선군,22070,86637,44957,41680,3.9,,,72.2,2017-11-01
1991,철원군,14069,55273,27917,27356,3.9,,,67.1,2017-11-01
1991,화천군,7735,27504,13950,13554,3.6,,,28.8,2017-11-01
1991,양구군,6756,25764,12970,12794,3.8,,,41.7,2017-11-01
1991,인제군,9424,36472,18401,18071,3.9,,,18.8,2017-11-01
1991,고성군,11212,42640,21211,21429,3.8,,,58.6,2017-11-01
1991,양양군,8698,33014,16600,16414,3.8,,,53,2017-11-01
1991,명주군,18951,71355,35876,35479,3.8,,,75.5,2017-11-01
1991,삼척군,16250,63077,32062,31015,3.9,,,53.3,2017-11-01
1992,전체,432116,1555082,781263,773819,3.6,,,92,2017-11-01
1992,춘천시,52812,179372,88908,90464,3.4,,,3366,2017-11-01
1992,원주시,49281,171647,85208,86439,3.5,,,2040,2017-11-01
1992,강릉시,43319,151921,75406,76515,3.5,,,1990.1,2017-11-01
1992,동해시,26645,96336,48293,48043,3.6,,,535.2,2017-11-01
1992,태백시,20966,79363,40630,38733,3.8,,,305.9,2017-11-01
1992,속초시,21785,74798,37231,37567,3.4,,,712.8,2017-11-01
1992,삼척시,11499,41493,20854,20639,3.6,,,733.1,2017-11-01
1992,춘천군,11541,42290,21492,20798,3.7,,,40.6,2017-11-01
1992,홍천군,21101,79429,40083,39346,3.7,,,44.5,2017-11-01
1992,횡성군,13608,51481,26043,25438,3.8,,,51.1,2017-11-01
1992,원주군,13578,49164,24893,24271,3.6,,,63,2017-11-01
1992,영월군,16482,58783,29598,29185,3.6,,,53.4,2017-11-01
1992,평창군,14293,53354,27119,26235,3.7,,,36.5,2017-11-01
1992,정선군,21619,80133,41376,38757,3.7,,,66.8,2017-11-01
1992,철원군,14595,55202,27997,27205,3.8,,,67,2017-11-01
1992,화천군,7761,26752,13571,13181,3.4,,,28,2017-11-01
1992,양구군,6842,25303,12760,12543,3.7,,,41,2017-11-01
1992,인제군,9718,35696,18015,17681,3.7,,,18.4,2017-11-01
1992,고성군,11279,41606,20665,20941,3.7,,,67,2017-11-01
1992,양양군,8826,32299,16019,16280,3.6,,,51.8,2017-11-01
1992,명주군,19195,70107,35177,34930,3.6,,,74.2,2017-11-01
1992,삼척군,15371,58553,29925,28628,3.8,,,49.5,2017-11-01
1993,전체,440282,1540971,774150,766821,3.5,112599,,91.2,2017-11-01
1993,춘천시,54844,183414,90881,92533,3.3,,,3441.2,2017-11-01
1993,원주시,51352,176263,87483,88780,3.4,,,2092.1,2017-11-01
1993,강릉시,44656,153801,76371,77430,3.4,,,2014.9,2017-11-01
1993,동해시,27814,97799,49057,48742,3.5,,,542.7,2017-11-01
1993,태백시,19609,71905,36685,35220,3.7,,,278.3,2017-11-01
1993,속초시,23133,76646,38140,38506,3.3,,,731.6,2017-11-01
1993,삼척시,11858,41743,20968,20775,3.5,,,782.7,2017-11-01
1993,춘천군,11783,41689,21235,20454,3.5,,,40.1,2017-11-01
1993,홍천군,21445,78071,39493,38578,3.6,,,43.7,2017-11-01
1993,횡성군,13893,50365,25548,24817,3.6,,,50,2017-11-01
1993,원주군,14376,50442,25676,24766,3.5,,,64.6,2017-11-01
1993,영월군,16357,56478,28425,28053,3.5,,,51.3,2017-11-01
1993,평창군,14297,51724,26267,25457,3.6,,,35.4,2017-11-01
1993,정선군,20325,72900,37661,35239,3.6,,,60.7,2017-11-01
1993,철원군,14895,54747,27700,27047,3.7,,,66.5,2017-11-01
1993,화천군,7947,26630,13523,13107,3.4,,,27.9,2017-11-01
1993,양구군,6969,24835,12530,12305,3.6,,,40.1,2017-11-01
1993,인제군,9923,35263,17834,17429,3.6,,,18.2,2017-11-01
1993,고성군,11325,40490,20103,20387,3.6,,,65.1,2017-11-01
1993,양양군,9037,31934,15901,16033,3.5,,,51.2,2017-11-01
1993,명주군,19435,68824,34520,34304,3.5,,,72.8,2017-11-01
1993,삼척군,15009,55008,28149,26859,3.7,,,46.5,2017-11-01
1994,전체,447404,1530717,768704,762013,3.4,116015,,89.1,2017-11-01
1994,춘천시,56601,187442,92751,94691,3.3,,,3516.1,2017-11-01
1994,원주시,52996,180232,89408,90824,3.4,,,2139.3,2017-11-01
1994,강릉시,45922,155659,77242,78417,3.4,,,2038.5,2017-11-01
1994,동해시,28783,99169,49828,49341,3.4,,,550.2,2017-11-01
1994,태백시,19063,68151,34792,33359,3.6,,,224.8,2017-11-01
1994,속초시,24414,78622,39107,39515,3.2,,,750.4,2017-11-01
1994,삼척시,12043,41856,21009,20847,3.5,,,784.7,2017-11-01
1994,춘천군,11909,40886,20861,20025,3.4,,,38.5,2017-11-01
1994,홍천군,21802,76954,38908,38046,3.5,,,42.3,2017-11-01
1994,횡성군,14080,49412,25074,24338,3.5,,,49.5,2017-11-01
1994,원주군,14937,50995,25997,24998,3.4,,,65.4,2017-11-01
1994,영월군,16348,54889,27673,27216,3.4,,,48.7,2017-11-01
1994,평창군,14458,50548,25633,24915,3.5,,,34.5,2017-11-01
1994,정선군,19063,66169,34125,32044,3.5,,,54.2,2017-11-01
1994,철원군,15183,54308,27525,26783,3.6,,,65.9,2017-11-01
1994,화천군,8119,26322,13432,12890,3.2,,,28.9,2017-11-01
1994,양구군,7096,24593,12450,12143,3.5,,,39.7,2017-11-01
