번호,시도명,시군구명,시설명,소재지도로명주소,소재지지번주소,시설유형,위험시설지정고시번호,위험시설지정일자,위험시설지정사유,위험시설해제일자,위도,경도,연장,폭,시설부속물,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
105,강원도,동해시,영단 6낙차공,,강원도 동해시 심곡동 673-2,낙차공,2016-133,2016-12-30,,,37.58050121,129.0757982,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
106,강원도,동해시,영단 7낙차공,,강원도 동해시 심곡동 산55,낙차공,2016-133,2016-12-30,,,37.57956351,129.074879,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
107,강원도,동해시,영단 8낙차공,,강원도 동해시 심곡동 396-1,낙차공,2016-133,2016-12-30,,,37.581649,129.0743203,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
108,강원도,동해시,대구 1낙차공,,강원도 동해시 추암동 658-2,낙차공,2016-133,2016-12-30,,,37.46776754,129.1470253,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
109,강원도,동해시,대구 2낙차공,,강원도 동해시 대구동 476-5,낙차공,2016-133,2016-12-30,,,37.46765108,129.1460287,,,,,강원도 동해시,2019-09-16,4210000,강원도 동해시
110,강원도,태백시,금천 정가네,,강원도 태백시 금천동 171-8,세천,,1900-01-01,세천,1900-01-01,37.088859,128.971232,50,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
111,강원도,태백시,금천농원,,강원도 태백시 금천동 145,세천,,1900-01-01,세천,1900-01-01,37.088247,128.974825,100,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
112,강원도,태백시,산신암,강원도 태백시 태백산로 4936-19,강원도 태백시 소도동 10-79,세천,,1900-01-01,세천,1900-01-01,37.1361601,128.9780966,300,1,,033-550-3022,태백시청 안전총괄과,2019-06-17,4220000,강원도 태백시
113,강원도,태백시,철암케어센터,,강원도 태백시 철암동324-21,농로,,1900-01-01,농로,1900-01-01,37.123161,129.046410,2100,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
114,강원도,태백시,통동 군부대,,강원도 태백시 통동 45,농로,,1900-01-01,농로,1900-01-01,37.164808,129.028140,2100,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
115,강원도,태백시,큰적각,,강원도 태백시 적각동137-32,농로,,1900-01-01,농로,1900-01-01,37.219837,128.989605,2100,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
116,강원도,태백시,작은적각,,강원도 태백시 적각동 산78-36,농로,,1900-01-01,농로,1900-01-01,37.218478,128.996493,3400,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
117,강원도,태백시,창죽분교,강원도 태백시 백두대간로 783-20,강원도 태백시 창죽동 9-247,농로,,1900-01-01,농로,1900-01-01,37.2424883,128.9817029,2000,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
118,강원도,태백시,상사미지구,,강원도 태백시 상사미동 62-1,농로,,1900-01-01,농로,1900-01-01,37.261570,128.997768,2800,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
119,강원도,태백시,사조보건소,,강원도 태백시 상사미동 399-4,농로,,1900-01-01,농로,1900-01-01,37.277546,128.991502,1900,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
120,강원도,태백시,사조보건소 화물앞,,강원도 태백시 상사미동236-6,농로,,1900-01-01,농로,1900-01-01,37.276744,128.990276,860,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
121,강원도,태백시,금천관광농원뒤 농로,,강원도 태백시 금천동171-32,농로,,1900-01-01,농로,1900-01-01,37.088218,128.971647,445,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
122,강원도,태백시,혈동 108,,강원도 태백시 혈동 108,세천,,1900-01-01,세천,1900-01-01,37.125701,128.911714,550,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
123,강원도,태백시,상사미 절골,,강원도 태백시 상사미동304-1,농로,,1900-01-01,농로,1900-01-01,37.287557,128.991737,1400,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
124,강원도,태백시,예수원,,강원도 태백시 하사미동161-6,농로,,1900-01-01,농로,1900-01-01,37.304228,128.994511,940,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
125,강원도,태백시,유정산업 앞,,강원도 태백시 하사미동 13,농로,,1900-01-01,농로,1900-01-01,37.305136,129.003229,700,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
126,강원도,태백시,천포,,강원도 태백시 하사미동280-5,농로,,1900-01-01,농로,1900-01-01,37.304358,128.994674,1100,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
127,강원도,태백시,원동1,,강원도 태백시 원동 177,농로,,1900-01-01,농로,1900-01-01,37.261632,128.951542,1200,2,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
128,강원도,태백시,원동2,,강원도 태백시 원동 75-1,농로,,1900-01-01,농로,1900-01-01,37.264950,128.958426,1140,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
129,강원도,태백시,원동3,,강원도 태백시 원동 76-1,농로,,1900-01-01,농로,1900-01-01,37.2649524,128.959396,950,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
130,강원도,태백시,가리골,,강원도 태백시 화전동165-9,농로,,1900-01-01,농로,1900-01-01,37.203223,128.954485,3940,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
131,강원도,태백시,조탄농로,,강원도 태백시 조탄동 66-1,농로,,1900-01-01,농로,1900-01-01,37.326028,128.970303,2240,3,,033-550-3903,태백시청 건설교통과,2019-06-17,4220000,강원도 태백시
