소방본부,휴게음식점,제과영업점,일반음식점,유흥주점,단란주점,영화상영관,비디오물감상,비디오소극장,복합영상물,학원,목욕장업,게임제공업,PC방,복합유통업,노래연습장,산후조리원,권총사격장,골프연습장,안마시술소,고시원
서 울,2009,158,16537,1921,2113,93,67,7,8,628,333,404,1853,133,5910,147,3,1056,61,5663
부 산,773,64,4408,2374,1530,29,21,4,0,158,94,208,725,41,1910,27,2,447,9,246
대 구,853,28,2226,1315,456,25,22,2,1,55,51,215,583,30,1803,26,1,388,15,270
인 천,717,49,3338,1006,536,28,11,0,0,67,128,197,593,33,2373,37,0,314,13,779
광 주,316,12,1187,625,389,17,14,2,0,34,24,130,371,32,1107,8,0,126,11,163
대 전,281,18,1777,286,304,15,9,2,0,30,39,91,323,70,1380,14,0,190,11,257
울 산,294,10,1128,1051,479,10,9,0,0,15,38,118,267,14,791,7,0,260,11,220
세 종,64,3,522,35,31,2,0,0,0,0,5,13,36,10,148,6,0,26,1,10
경기북부,474,45,2863,1192,468,34,17,0,1,115,152,145,609,62,1668,41,0,455,26,547
경기남부,1476,135,10209,4153,1355,84,49,2,10,457,302,532,1873,125,5705,139,2,1354,119,2443
강 원,320,15,1778,1397,544,30,8,1,1,25,92,189,464,31,915,17,0,221,9,14
충 북,304,12,1371,809,368,20,8,0,0,13,56,158,321,39,1160,14,0,235,15,124
충 남,386,26,1875,1185,482,26,6,0,1,15,77,148,399,42,1222,18,0,304,19,297
전 북,328,15,1659,863,427,27,12,0,0,13,83,75,403,16,937,15,0,214,19,137
전 남,335,15,1437,1571,609,21,5,0,0,10,76,117,305,43,837,11,0,211,16,40
경 북,517,20,1674,2001,565,32,20,0,0,14,94,149,477,54,1682,16,1,463,21,91
경 남,399,13,1915,2531,629,25,8,0,1,19,106,88,413,52,1214,15,0,373,16,220
창 원,234,16,1460,1793,355,10,6,1,1,14,31,52,266,27,621,17,0,231,9,79
제 주,180,11,1037,778,563,5,7,0,0,2,17,43,164,9,313,9,1,103,0,5
,,,,,,,,,,,,,,,,,,,,
