사망,부상,인명피해(명)소계,화재발생년월일,시도,시군구,재산피해소계,부동산,동산,장소대분류,장소중분류,장소소분류
0,0,0,2017-01-01 0:00,서울특별시,강남구,13391,7223,6168,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
0,0,0,2017-01-01 0:09,경상북도,문경시,195,177,18,생활서비스,음식점,한식
0,0,0,2017-01-01 0:14,경상남도,거제시,22,0,22,기타,야외,기타야외
0,0,0,2017-01-01 0:57,경기도,안산시상록구,1,0,1,주거,단독주택,다가구주택
0,0,0,2017-01-01 0:59,전라북도,익산시,966,796,170,"판매,업무시설",숙박시설,모텔
0,0,0,2017-01-01 1:11,경기도,하남시,3638,2171,1467,주거,단독주택,다가구주택
0,0,0,2017-01-01 1:12,경상남도,김해시,2,0,2,주거,공동주택,기타 공동주택
0,0,0,2017-01-01 1:23,경기도,시흥시,5490,0,5490,산업시설,공장시설,금속기계 및 기구공업
0,0,0,2017-01-01 1:37,경기도,고양시덕양구,19,16,3,주거,공동주택,아파트
0,0,0,2017-01-01 1:38,제주특별자치도,제주시,11,0,11,생활서비스,위락시설,단란주점
0,0,0,2017-01-01 1:39,경기도,남양주시,898,600,298,기타서비스,기타건축물,기타 건축물
0,0,0,2017-01-01 1:42,제주특별자치도,제주시,4281,3115,1166,산업시설,동식물시설,농예용 온실
0,0,0,2017-01-01 2:04,강원도,영월군,1979,1016,963,주거,기타주택,컨테이너(주거용)
0,0,0,2017-01-01 2:19,경기도,이천시,495,0,495,"자동차,철도차량",자동차,화물자동차
0,0,0,2017-01-01 2:26,부산광역시,수영구,0,,,생활서비스,일상서비스,일반상점
0,0,0,2017-01-01 2:39,경기도,시흥시,32750,5800,26950,산업시설,공장시설,금속기계 및 기구공업
0,0,0,2017-01-01 2:44,인천광역시,부평구,22,0,22,기타,야외,기타야외
0,0,0,2017-01-01 2:46,충청남도,홍성군,3300,0,3300,"자동차,철도차량",자동차,승용자동차
0,0,0,2017-01-01 3:06,경기도,안산시단원구,135,0,135,기타,도로,전봇대
0,0,0,2017-01-01 3:32,서울특별시,마포구,971,240,731,주거,단독주택,단독주택
0,0,0,2017-01-01 3:42,서울특별시,강서구,3669,3257,412,주거,공동주택,기타 공동주택
